evaspot_name,japanese_name,evaspot_kind_name,diskinds,evaspot_capacity,cities_name,cities_subdiv,cities_subarea_name,shelter_status_name,longitude,latitude,内水氾濫,土石流,地震,大規模な火事,崖崩れ・地滑り,津波,洪水,高潮
さくら公園,さくらこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",1049,大野市,大野市陽明町一丁目101,下庄地区,未開設,136.496466,35.99034,1,1,1,0,0,0,0,0
陽明公園,ようあきらこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",1964,大野市,大野市陽明町三丁目702,下庄地区,未開設,136.497586,35.991709,1,1,1,0,0,0,0,0
中挾公園,なかばさみこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",2110,大野市,大野市中挾町701,,未開設,136.504041,35.987131,1,1,1,0,0,0,0,0
滝ヶ花公園　※調整池兼用,たきがはなこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",2850,大野市,大野市東中野一丁目1401,,未開設,136.495657,35.997161,0,1,1,0,0,0,0,0
特別養護老人ホームビハーラ大野,とくべつようごろうじんほーむびはーらおおの,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",149,大野市,大野市牛ヶ原154-1-1,,未開設,136.465995,35.993767,1,1,1,0,0,0,1,0
神明公園,しんめいこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",823,大野市,大野市神明上85,,未開設,136.496672,35.981378,1,1,1,0,0,0,0,0
勝山市体育館「ジオアリーナ」,かつやましたいいくかん「じおありーな」,避難所,[],87,勝山市,勝山市昭和町2丁目4-20,市全域,未開設,136.5099083,36.06497778,0,0,0,0,0,0,0,0
勝山市福祉健康センター「すこやか」,かつやましふくしけんこうせんたー「すこやか」,避難所,[],171,勝山市,勝山市郡町1-1-50,市全域,未開設,136.4962361,36.06833611,0,0,0,0,0,0,0,0
勝山市民会館,かつやましみんかいかん,指定避難所,[],201,勝山市,勝山市元町1-5-16,勝山地区,未開設,136.500084,36.061287,0,0,0,0,0,0,0,0
勝山市教育会館,かつやましきょういくかいかん,指定避難所,[],439,勝山市,勝山市元町1-5-6,勝山地区,未開設,136.501065,36.0619,0,0,0,0,0,0,0,0
成器南小学校（体育館）,せいきみなみしょうがっこう（たいいくかん）,指定避難所,[],734,勝山市,勝山市元町3-10-38,勝山地区,未開設,136.505337,36.050141,0,0,0,0,0,0,0,0
元町第２公園,もとまちだいにこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市元町２丁目１８,勝山地区,未開設,136.502467,36.054991,0,1,1,0,0,0,1,0
中央公園,ちゅうおうこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",52,勝山市,勝山市元町１丁目５１４,勝山地区,未開設,136.501368,36.061469,0,1,1,0,0,0,1,0
成器南小学校グラウンド,せいきみなみしょうがっこうぐらうんど,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市元町３丁目１０－３８,勝山地区,未開設,136.506232,36.050277,0,1,1,0,0,0,1,0
神明神社,しんめいじんじゃ,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市元町１丁目１9－２４,勝山地区,未開設,136.500417,36.058371,0,1,1,0,0,0,1,0
成器南幼稚園グラウンド,せいきみなみようちえんぐらうんど,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市元町２丁目１８番３８号,勝山地区,未開設,136.502932,36.054899,0,1,1,0,0,0,1,0
猪野瀬こうみん館,いのせこうみんかん,指定避難所,[],111,勝山市,勝山市北市7-4,猪野瀬地区,未開設,136.510112,36.043206,0,0,0,0,0,0,0,0
北谷町コミュニティセンター,きただにちょうコミュニティセンター,指定避難所,[],91,勝山市,勝山市北谷町河合26-2-1,北谷地区,未開設,136.558336,36.105178,0,0,0,0,0,0,0,0
かつやま子どもの村小・中学校,かつやまこどものむらしょう・ちゅうがっこう,指定避難所,[],127,勝山市,勝山市北谷町河合5-3,北谷地区,未開設,136.563107,36.108332,0,0,0,0,0,0,0,0
北郷小学校グラウンド,きたごうしょうがっこうぐらうんど,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市北郷町東野１３－２５,北郷地区,未開設,136.428483,36.085833,0,0,1,0,0,0,1,0
北郷小学校（体育館）,きたごうしょうがっこう（たいいくかん）,指定避難所,[],184,勝山市,勝山市北郷町東野13-25,北郷地区,未開設,136.428774,36.086277,0,0,0,0,0,0,0,0
北郷まちづくり会館,きたごうまちづくりかいかん,指定避難所,[],115,勝山市,勝山市北郷町東野18-24,北郷地区,未開設,136.434528,36.085433,0,0,0,0,0,0,0,0
平泉寺小学校グラウンド,へいせんじしょうがっこうぐらうんど,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市平泉寺町平泉寺１６４－１２,平泉寺地区,未開設,136.532382,36.035263,0,1,1,0,0,0,1,0
平泉寺小学校（体育館）,へいせんじしょうがっこう（たいいくかん）,指定避難所,[],175,勝山市,勝山市平泉寺町平泉寺164-12,平泉寺地区,未開設,136.532318,36.03586,0,0,0,0,0,0,0,0
勝山市平泉寺児童館,かつやましへいせんじじどうかん,指定避難所,[],84,勝山市,勝山市平泉寺町平泉寺167-18,平泉寺地区,未開設,136.531468,36.034291,0,0,0,0,0,0,0,0
平泉寺まちづくり会館,へいせんじまちづくりかいかん,指定避難所,[],106,勝山市,勝山市平泉寺町平泉寺170-110,平泉寺地区,未開設,136.533937,36.031234,0,0,0,0,0,0,0,0
あさひ公園,あさひこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市旭毛屋町１８０１,勝山地区,未開設,136.511181,36.050024,0,1,1,0,0,0,1,0
勝山南部中学校グラウンド,かつやまなんぶちゅうがっこうぐらうんど,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市旭毛屋町３４０１,勝山地区,未開設,136.511572,36.046823,0,1,1,0,0,0,1,0
勝山南部中学校（体育館）,かつやまなんぶちゅうがっこう（たいいくかん）,指定避難所,[],511,勝山市,勝山市旭毛屋町3401,勝山地区,未開設,136.511203,36.047408,0,0,0,0,0,0,0,0
南部第４公園,なんぶだいよんこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市旭町２丁目６,勝山地区,未開設,136.511181,36.052083,0,1,1,0,0,0,1,0
南部第１公園,なんぶだいいちこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市旭町１丁目２２５,勝山地区,未開設,136.506616,36.056096,0,1,1,0,0,0,1,0
南部第２公園,なんぶだいにこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市旭町２丁目３３１,勝山地区,未開設,136.508572,36.053588,0,1,1,0,0,0,1,0
南部第３公園,なんぶだいさんこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市旭町２丁目５２１,勝山地区,未開設,136.510632,36.054257,0,1,1,0,0,0,1,0
成器西小学校（体育館）,せいきにししょうがっこう（たいいくかん）,指定避難所,[],384,勝山市,勝山市昭和町1-6-81,勝山地区,未開設,136.505431,36.061878,0,0,0,0,0,0,0,0
