河川名_河川名,局名_局名,所在地_所在地,最新観測時刻_最新観測時刻,水防団 待機水位 (通報水位)_[m],氾濫 注意水位 (警戒水位)_[m],避難 判断水位_[m],氾濫 危険水位_[m],河川 水位_[m],前回 水位 差分_[m],管理者名_管理者名
岡本川,中道橋-(市),越前市岩本町,2025 08/19 20:10,---,---,---,---,→ 0.10,0.00,越前市
月尾川,長五橋-(市),越前市大平町,2025 08/19 20:10,---,---,---,---,↓ 0.23,-0.01,越前市
八ケ川,瓜生-(市),越前市瓜生町,2025 08/19 20:10,---,---,---,---,↓ 1.37,-0.04,越前市
春日野川,春日野-(市),越前市春日野町,2025 08/19 20:10,---,---,---,---,→ 0.09,0.00,越前市
小松川,平出-(市),越前市平出,2025 08/19 20:10,---,---,---,---,↑ 0.38,0.01,越前市
日野川,聖橋,南越前町鯖波,2025 08/19 20:10,2.10,2.90,3.00,3.40,→ 0.08,0.00,広野・桝谷ダム統管
日野川,今庄,南越前町南今庄,2025 08/19 20:10,1.30,1.80,---,2.80,→ 0.44,0.00,広野・桝谷ダム統管
日野川,二ツ屋,南越前町二ツ屋,2025 08/19 20:10,---,---,---,---,→ 349.75,0.00,広野・桝谷ダム統管
日野川,岩谷,南越前町岩谷,2025 08/19 20:10,---,---,---,---,→ 0.12,0.00,広野・桝谷ダム統管
鞍谷川,粟田部,越前市粟田部町,2025 08/19 20:10,1.30,1.80,1.90,2.50,→ 0.19,0.00,丹南土木
服部川,東庄境,越前市東庄境町,2025 08/19 20:10,1.10,1.50,---,2.20,→ 0.43,0.00,丹南土木
足羽川,稲荷,池田町稲荷,2025 08/19 20:10,2.50,2.90,3.50,3.80,→ 1.28,0.00,丹南土木
足羽川,河内,池田町河内,2025 08/19 20:10,---,---,---,---,→ -0.68,0.00,丹南土木
魚見川,新保,池田町新保,2025 08/19 20:10,1.70,3.00,---,4.40,→ 1.08,0.00,丹南土木
